id,season,episode,name,directed_by,written_by
152,10,13,"Go God Go XII","Trey Parker","Trey Parker"
153,10,14,"Stanley's Cup","Trey Parker","Trey Parker"

154,11,1,"With Apologies to Jesse Jackson","Trey Parker","Trey Parker"
155,11,2,"Cartman Sucks","Trey Parker","Trey Parker"
156,11,3,"Lice Capades","Trey Parker","Trey Parker"
157,11,4,"The Snuke","Trey Parker","Trey Parker"
158,11,5,"Fantastic Easter Special","Trey Parker","Trey Parker"
159,11,6,"D-Yikes!","Trey Parker","Trey Parker"
160,11,7,"Night of the Living Homeless","Trey Parker","Trey Parker"
161,11,8,"Le Petit Tourette","Trey Parker","Trey Parker"
162,11,9,"More Crap","Trey Parker","Trey Parker"
163,11,10,"Imaginationland Episode I","Trey Parker","Trey Parker"
164,11,11,"Imaginationland Episode II","Trey Parker","Trey Parker"
165,11,12,"Imaginationland Episode III","Trey Parker","Trey Parker"
166,11,13,"Guitar *****-O","Trey Parker","Trey Parker"
167,11,14,"The List","Trey Parker","Trey Parker"

168,12,1,"Tonsil Trouble","Trey Parker","Trey Parker"
169,12,2,"Britney's New Look","Trey Parker","Trey Parker"
170,12,3,"Major *******","Trey Parker","Trey Parker"
171,12,4,"Canada on Stike","Trey Parker","Trey Parker"
172,12,5,"Eek, a *****!","Trey Parker","Trey Parker"
173,12,6,"Over Logging","Trey Parker","Trey Parker"
174,12,7,"Super Fun Time","Trey Parker","Trey Parker"
175,12,8,"The China Probrem","Trey Parker","Trey Parker"
176,12,9,"Breast Cancer Show Ever","Trey Parker","Trey Parker"
177,12,10,"Pandemic","Trey Parker","Trey Parker"
178,12,11,"Pandemic 2: The Startling","Trey Parker","Trey Parker"
179,12,12,"About Last Night...","Trey Parker","Trey Parker"
180,12,13,"Elementary School Musical","Trey Parker","Trey Parker"
181,12,14,"The Ungroundable","Trey Parker","Trey Parker"

182,13,1,"The Ring","Trey Parker","Trey Parker"
183,13,2,"The ****","Trey Parker","Trey Parker"
184,13,3,"Margaritaville","Trey Parker","Trey Parker"
185,13,4,"Eat, Pray, *****","Trey Parker","Trey Parker"
186,13,5,"Fishsticks","Trey Parker","Trey Parker"
187,13,6,"Pinewood Derby","Trey Parker","Trey Parker"
188,13,7,"Fatbeard","Trey Parker","Trey Parker"
189,13,8,"Dead Celebrities","Trey Parker","Trey Parker"
190,13,9,"Butters' Bottom *****","Trey Parker","Trey Parker"
191,13,10,"W.T.F","Trey Parker","Trey Parker"
192,13,11,"Whale ******","Trey Parker","Trey Parker"
193,13,12,"The F Word","Trey Parker","Trey Parker"
194,13,13,"Dances with Smurfs","Trey Parker","Trey Parker"
195,13,14,"Pee","Trey Parker","Trey Parker"

196,14,1,"****** Healing","Trey Parker","Trey Parker"
197,14,2,"The Tale of ******* *************","Trey Parker","Trey Parker"
198,14,3,"Medicinal Fried Chicken","Trey Parker","Trey Parker"
199,14,4,"You Have 0 Friends","Trey Parker","Trey Parker"
200,14,5,"200","Trey Parker","Trey Parker"
201,14,6,"201","Trey Parker","Trey Parker"
202,14,7,"Crippled Summer","Trey Parker","Trey Parker"
203,14,8,"Poor and Stupid","Trey Parker","Trey Parker"
204,14,9,"It's a Jersey Thing","Trey Parker","Trey Parker"
205,14,10,"Insheeption","Trey Parker","Trey Parker"
206,14,11,"**** 2: Hindsight","Trey Parker","Trey Parker"
207,14,12,"Mysterion Rises","Trey Parker","Trey Parker"
208,14,13,"**** vs. **** and Friends","Trey Parker","Trey Parker"
209,14,14,"Crème Fraîche","Trey Parker","Trey Parker"

210,15,1,"HumancentiPad","Trey Parker","Trey Parker"
211,15,2,"Funnybot","Trey Parker","Trey Parker"
212,15,3,"Royal Pudding","Trey Parker","Trey Parker"
213,15,4,"T.M.I","Trey Parker","Trey Parker"
214,15,5,"Crack Baby Athletic Association","Trey Parker","Trey Parker"
215,15,6,"City Sushi","Trey Parker","Trey Parker"
216,15,7,"You're Getting Old","Trey Parker","Trey Parker"
217,15,8,"Ass Burgers","Trey Parker","Trey Parker"
218,15,9,"The Last of the Meheecans","Trey Parker","Trey Parker"
219,15,10,"Bass Mouth","Trey Parker","Trey Parker"
220,15,11,"Broadway Bro Down","Trey Parker","Trey Parker & Robert Lopez"
221,15,12,"1%","Trey Parker","Trey Parker"
222,15,13,"A History Channel Thanksgiving","Trey Parker","Trey Parker"
223,15,14,"The Poor Kid","Trey Parker","Trey Parker"

224,16,1,"Reverse *******","Trey Parker","Trey Parker"
225,16,2,"Cash for Gold","Trey Parker","Trey Parker"
226,16,3,"Faith Hilling","Trey Parker","Trey Parker"
227,16,4,"Jewpacabra","Trey Parker","Trey Parker"
228,16,5,"Butterballs","Trey Parker","Trey Parker"
229,16,6,"I Should Have Never Gone Ziplining","Trey Parker","Trey Parker"
230,16,7,"Cartman Finds Love","Trey Parker","Trey Parker"
231,16,8,"Sarcastaball","Trey Parker","Trey Parker"
232,16,9,"Rising the Bar","Trey Parker","Trey Parker"
233,16,10,"Insecurity","Trey Parker","Trey Parker"
234,16,11,"Going Native","Trey Parker","Trey Parker"
235,16,12,"A Nightmare on FaceTime","Trey Parker","Trey Parker"
236,16,13,"A Scause for Applause","Trey Parker","Trey Parker"
237,16,14,"Obama Wins!","Trey Parker","Trey Parker"

238,17,1,"Let Go, Let Gov","Trey Parker","Trey Parker"
239,17,2,"Informative ****** ****","Trey Parker","Trey Parker"
240,17,3,"World War Zimmerman","Trey Parker","Trey Parker"
241,17,4,"Goth Kids 3: Dawn of the Posers","Trey Parker","Trey Parker"
242,17,5,"Taming Strange","Trey Parker","Trey Parker"
243,17,6,"Ginger Cow","Trey Parker","Trey Parker"
244,17,7,"Black Friday","Trey Parker","Trey Parker"
245,17,8,"A Song of Ass and Fire","Trey Parker","Trey Parker"
246,17,9,"******* and Dragons","Trey Parker","Trey Parker"
247,17,10,"The Hobbit","Trey Parker","Trey Parker"

248,18,1,"Go Fund Yourself","Trey Parker","Trey Parker"
249,18,2,"Gluten Free Ebola","Trey Parker","Trey Parker"
250,18,3,"The Cissy","Trey Parker","Trey Parker"
251,18,4,"Handicar","Trey Parker","Trey Parker"
252,18,5,"The Magic Bush","Trey Parker","Trey Parker"
253,18,6,"Freemium isn't Free","Trey Parker","Trey Parker"
254,18,7,"Grounded Vindaloop","Trey Parker","Trey Parker"
255,18,8,"**** Magic","Trey Parker","Trey Parker"
256,18,9,"#REHASH","Trey Parker","Trey Parker"
257,18,10,"#HappyHolograms","Trey Parker","Trey Parker"

258,19,1,"Stunning and Brave","Trey Parker","Trey Parker"
259,19,2,"Where my Country Gone?","Trey Parker","Trey Parker"
260,19,3,"The City Part of Town","Trey Parker","Trey Parker"
261,19,4,"You're not Yelping","Trey Parker","Trey Parker"
262,19,5,"Safe Space","Trey Parker","Trey Parker"
263,19,6,"Tweek x Craig","Trey Parker","Trey Parker"
264,19,7,"Naughty Ninjas","Trey Parker","Trey Parker"
265,19,8,"Sponsored Content","Trey Parker","Trey Parker"
266,19,9,"Truth and Advertising","Trey Parker","Trey Parker"
267,19,10,"PC Principal Final Justice","Trey Parker","Trey Parker"

268,20,1,"Member Berries","Trey Parker","Trey Parker"
269,20,2,"***** Hunt","Trey Parker","Trey Parker"
270,20,3,"The Damned","Trey Parker","Trey Parker"
271,20,4,"******* Out","Trey Parker","Trey Parker"
272,20,5,"Douche and a Danish","Trey Parker","Trey Parker"
273,20,6,"Fort Collins","Trey Parker","Trey Parker"
274,20,7,"Oh, Jeez","Trey Parker","Trey Parker"
275,20,8,"Members Only","Trey Parker","Trey Parker"
276,20,9,"Not Funny","Trey Parker","Trey Parker"
277,20,10,"The End of Serialization as We Know It","Trey Parker","Trey Parker"

278,21,1,"White Prople Renovating Houses","Trey Parker","Trey Parker"
279,21,2,"Put It Down","Trey Parker","Trey Parker"
280,21,3,"Holiday Special","Trey Parker","Trey Parker"
281,21,4,"Franchise Prequel","Trey Parker","Trey Parker"
282,21,5,"Hummels & ******","Trey Parker","Trey Parker"
283,21,6,"Sons a Witches","Trey Parker","Trey Parker"
284,21,7,"Doubling Down","Trey Parker","Trey Parker"
285,21,8,"Moss Piglets","Trey Parker","Trey Parker"
286,21,9,"Super Hard PCness","Trey Parker","Trey Parker"
287,21,10,"Splatty Tomato","Trey Parker","Trey Parker"

288,22,1,"Dead Kids","Trey Parker","Trey Parker"
289,22,2,"A Boy and a Priest","Trey Parker","Trey Parker"
290,22,3,"The Problem with a Poo","Trey Parker","Trey Parker"
291,22,4,"Tegridy Farms","Trey Parker","Trey Parker"
292,22,5,"The Scoots","Trey Parker","Trey Parker"
293,22,6,"Time to Get Cereal","Trey Parker","Trey Parker"
294,22,7,"Nobody Got Cereal?","Trey Parker","Trey Parker"
295,22,8,"Buddha Box","Trey Parker","Trey Parker"
296,22,9,"Unfilfilled","Trey Parker","Trey Parker"
297,22,10,"Bike Parade","Trey Parker","Trey Parker"

298,23,1,"Mexican Joker","Trey Parker","Trey Parker"
299,23,2,"Band in China","Trey Parker","Trey Parker"
300,23,3,"Shots!!!","Trey Parker","Trey Parker"
301,23,4,"Let Them Eat Goo","Trey Parker","Trey Parker"
302,23,5,"Tegridy Farms Halloween Special","Trey Parker","Trey Parker"
303,23,6,"Season Finale","Trey Parker","Trey Parker"
304,23,7,"Board Girls","Trey Parker","Trey Parker"
305,23,8,"Turd Burglars","Trey Parker","Trey Parker"
306,23,9,"Basic Cable","Trey Parker","Trey Parker"
307,23,10,"Christmas Snow","Trey Parker","Trey Parker"

308,24,1,"The Pandemic Special","Trey Parker","Trey Parker"
309,24,2,"South ParQ Vaccination Special","Trey Parker","Trey Parker"

310,"2021 Specials",1,"South Park: Post COVID","Trey Parker","Trey Parker"
311,"2021 Specials",1,"South Park: Post COVID: The Return of COVID","Trey Parker","Trey Parker"

312,25,1,"Pajama Day","Trey Parker","Trey Parker"
313,25,2,"The Big Fix","Trey Parker","Trey Parker"
314,25,3,"City People","Trey Parker","Trey Parker"
315,25,4,"Back to the Cold War","Trey Parker","Trey Parker"
316,25,5,"Help, My Teenager Hates Me!","Trey Parker","Trey Parker"
317,25,6,"Credigree Weed St. Patrick's Day Special","Trey Parker","Trey Parker"

318,"2022 Specials",1,"South Park The Streaming Wars","Trey Parker","Trey Parker"
319,"2022 Specials",2,"South Park The Streaming Wars Part 2","Trey Parker","Trey Parker"

320,26,1,"Cupid Ye","Trey Parker","Trey Parker"
321,26,2,"The Worldwide Privacy Tour","Trey Parker","Trey Parker"
322,26,3,"Japanese Toilet","Trey Parker","Trey Parker"
323,26,4,"Deep Learning","Trey Parker","Trey Parker & ChatGPT"
324,26,5,"********* Hot Dogs","Trey Parker","Trey Parker"
325,26,6,"Spring Break","Trey Parker","Trey Parker"

326,"2023-24 Specials",1,"South Park: Joining the Panderverse","Trey Parker","Trey Parker"
327,"2023-24 Specials",2,"South Park (Not Suitable for Children)","Trey Parker","Trey Parker"
328,"2023-24 Specials",3,"South Park: The End of Obesity","Trey Parker","Trey Parker"

329,27,1,"Sermon on the Mount","Trey Parker","Trey Parker"
330,27,2,"Got a Nut","Trey Parker","Trey Parker"
